size,type
1434,bengin
54,bengin
133,bengin
1434,cryptojacking
122,bengin
125,bengin
136,bengin
140,bengin
113,bengin
1434,cryptojacking
130,bengin
128,bengin
124,bengin
129,bengin
60,bengin
90,cryptojacking
1434,bengin
113,bengin
153,bengin
54,bengin
1342,cryptojacking
54,bengin
120,bengin
168,cryptojacking
158,bengin
125,bengin
134,bengin
60,bengin
123,bengin
128,bengin
211,cryptojacking
90,cryptojacking
130,bengin
123,bengin
159,bengin
1434,bengin
122,bengin
124,bengin
123,bengin
60,bengin
60,bengin
126,bengin
146,bengin
99,cryptojacking
135,bengin
127,bengin
118,bengin
54,bengin
135,bengin
126,bengin
99,cryptojacking
134,bengin
158,bengin
103,cryptojacking
60,bengin
128,bengin
60,bengin
1434,cryptojacking
1434,bengin
128,bengin
126,bengin
1434,bengin
111,bengin
127,bengin
155,bengin
301,cryptojacking
1434,cryptojacking
125,bengin
115,bengin
66,bengin
129,bengin
103,cryptojacking
114,bengin
120,bengin
140,bengin
60,bengin
122,bengin
54,bengin
1434,cryptojacking
122,bengin
1434,bengin
131,bengin
137,bengin
129,bengin
133,bengin
54,bengin
90,cryptojacking
156,bengin
126,bengin
117,bengin
126,bengin
126,bengin
123,bengin
140,bengin
90,cryptojacking
1523,bengin
125,bengin
119,bengin
127,bengin
103,cryptojacking
126,bengin
118,bengin
117,bengin
60,bengin
355,cryptojacking
127,bengin
60,bengin
115,bengin
1434,cryptojacking
66,bengin
1434,bengin
1434,cryptojacking
147,bengin
119,bengin
60,bengin
163,cryptojacking
60,bengin
115,bengin
132,bengin
165,bengin
103,cryptojacking
93,cryptojacking
60,bengin
127,bengin
128,bengin
130,bengin
60,bengin
132,bengin
129,bengin
103,cryptojacking
117,bengin
136,bengin
90,cryptojacking
115,bengin
54,bengin
125,bengin
2453,cryptojacking
128,bengin
1434,bengin
118,bengin
132,bengin
137,bengin
180,bengin
1434,bengin
1434,cryptojacking
1434,cryptojacking
90,cryptojacking
60,bengin
129,bengin
136,bengin
54,bengin
127,bengin
54,bengin
60,bengin
118,bengin
132,bengin
103,cryptojacking
2802,cryptojacking
1434,cryptojacking
139,bengin
122,bengin
1434,cryptojacking
999,cryptojacking
54,bengin
115,bengin
127,bengin
438,cryptojacking
1434,cryptojacking
103,cryptojacking
