size,type
121,bengin
1434,cryptojacking
124,bengin
131,bengin
128,bengin
120,bengin
54,bengin
1434,cryptojacking
121,bengin
60,bengin
131,bengin
125,bengin
1434,bengin
118,bengin
109,bengin
60,bengin
385,cryptojacking
1434,bengin
60,bengin
131,bengin
125,bengin
54,bengin
1434,cryptojacking
1434,bengin
1434,cryptojacking
54,bengin
1434,cryptojacking
115,bengin
54,bengin
1434,bengin
126,bengin
90,cryptojacking
168,cryptojacking
90,cryptojacking
66,cryptojacking
1434,cryptojacking
140,bengin
138,bengin
66,cryptojacking
1434,cryptojacking
122,bengin
134,bengin
1434,bengin
90,cryptojacking
1434,bengin
140,bengin
117,bengin
60,bengin
66,cryptojacking
103,cryptojacking
66,cryptojacking
129,bengin
219,bengin
60,bengin
118,bengin
175,cryptojacking
130,bengin
90,cryptojacking
66,cryptojacking
129,bengin
125,bengin
60,bengin
218,bengin
1434,cryptojacking
130,bengin
128,bengin
60,bengin
54,bengin
74,cryptojacking
1434,cryptojacking
60,bengin
124,bengin
131,bengin
132,bengin
66,cryptojacking
78,cryptojacking
1170,bengin
103,cryptojacking
66,cryptojacking
66,cryptojacking
66,cryptojacking
66,cryptojacking
60,bengin
90,cryptojacking
66,cryptojacking
1434,cryptojacking
150,bengin
155,bengin
1434,cryptojacking
66,cryptojacking
132,bengin
1434,bengin
125,bengin
90,cryptojacking
66,cryptojacking
13746,cryptojacking
90,cryptojacking
220,bengin
90,cryptojacking
120,bengin
60,bengin
1434,cryptojacking
121,bengin
1434,cryptojacking
128,bengin
1434,cryptojacking
1434,cryptojacking
126,bengin
132,bengin
1434,bengin
66,cryptojacking
66,cryptojacking
1434,bengin
129,bengin
137,bengin
135,bengin
103,cryptojacking
133,bengin
267,cryptojacking
60,bengin
123,bengin
120,bengin
66,bengin
66,cryptojacking
103,cryptojacking
60,bengin
129,bengin
60,bengin
66,cryptojacking
60,bengin
60,bengin
139,bengin
301,cryptojacking
138,bengin
1039,cryptojacking
135,bengin
126,bengin
1434,cryptojacking
211,cryptojacking
1434,cryptojacking
123,bengin
116,bengin
60,bengin
715,cryptojacking
136,bengin
54,bengin
127,bengin
123,bengin
139,cryptojacking
66,cryptojacking
137,bengin
164,bengin
60,bengin
90,cryptojacking
122,bengin
54,bengin
1434,cryptojacking
1434,bengin
117,bengin
1434,cryptojacking
60,bengin
66,cryptojacking
1434,cryptojacking
126,bengin
66,cryptojacking
168,cryptojacking
1434,cryptojacking
131,bengin
66,cryptojacking
140,bengin
90,cryptojacking
66,cryptojacking
90,cryptojacking
126,bengin
66,bengin
112,bengin
60,bengin
1434,cryptojacking
60,bengin
118,bengin
114,bengin
130,bengin
120,bengin
90,cryptojacking
66,cryptojacking
66,cryptojacking
1434,cryptojacking
78,cryptojacking
1434,cryptojacking
90,cryptojacking
66,cryptojacking
168,bengin
161,bengin
117,bengin
1434,cryptojacking
90,cryptojacking
66,cryptojacking
66,cryptojacking
1434,bengin
1434,bengin
60,bengin
60,bengin
1434,cryptojacking
60,bengin
90,cryptojacking
129,bengin
140,bengin
54,bengin
113,bengin
134,bengin
267,cryptojacking
114,bengin
130,bengin
131,bengin
121,bengin
201,cryptojacking
66,cryptojacking
60,bengin
66,cryptojacking
66,cryptojacking
103,cryptojacking
103,cryptojacking
130,bengin
151,bengin
112,bengin
120,bengin
116,bengin
118,bengin
54,bengin
132,bengin
54,bengin
66,cryptojacking
117,bengin
141,bengin
138,bengin
66,cryptojacking
1434,cryptojacking
1434,cryptojacking
136,bengin
66,cryptojacking
1434,cryptojacking
120,bengin
66,cryptojacking
1434,bengin
165,bengin
60,bengin
146,bengin
112,bengin
1434,cryptojacking
1038,cryptojacking
1434,cryptojacking
647,bengin
268,cryptojacking
66,cryptojacking
132,bengin
103,cryptojacking
112,bengin
60,bengin
136,bengin
425,bengin
129,bengin
126,bengin
138,bengin
66,cryptojacking
115,bengin
1434,bengin
129,bengin
1434,cryptojacking
99,cryptojacking
1434,cryptojacking
60,bengin
123,bengin
66,cryptojacking
1434,bengin
125,bengin
91,cryptojacking
154,bengin
122,bengin
1434,cryptojacking
129,bengin
54,bengin
486,bengin
118,bengin
159,bengin
111,bengin
1434,cryptojacking
54,bengin
355,cryptojacking
1434,bengin
60,bengin
130,bengin
138,bengin
60,bengin
1434,cryptojacking
119,bengin
92,bengin
113,bengin
109,bengin
119,bengin
143,bengin
138,bengin
138,bengin
1434,cryptojacking
125,bengin
