size,type
115,bengin
127,bengin
54,bengin
177,bengin
60,bengin
125,bengin
160,bengin
104,bengin
54,bengin
250,bengin
103,cryptojacking
60,bengin
78,bengin
54,bengin
54,bengin
54,bengin
1434,cryptojacking
120,bengin
78,bengin
704,cryptojacking
117,bengin
54,bengin
131,bengin
1434,cryptojacking
133,bengin
139,cryptojacking
54,bengin
60,bengin
267,cryptojacking
1434,cryptojacking
124,bengin
60,bengin
54,bengin
166,bengin
267,cryptojacking
168,bengin
66,bengin
1434,cryptojacking
497,bengin
66,bengin
54,bengin
139,bengin
54,bengin
124,bengin
103,cryptojacking
1434,cryptojacking
54,bengin
66,bengin
126,bengin
128,bengin
128,bengin
136,bengin
66,bengin
54,bengin
74,bengin
66,bengin
54,bengin
54,bengin
112,bengin
90,cryptojacking
113,bengin
129,bengin
60,bengin
133,bengin
115,bengin
60,bengin
1434,cryptojacking
54,bengin
54,bengin
128,bengin
54,bengin
54,bengin
119,bengin
60,bengin
113,bengin
60,bengin
54,bengin
1434,cryptojacking
130,bengin
54,bengin
1434,cryptojacking
66,bengin
124,bengin
112,bengin
125,bengin
133,bengin
1434,bengin
54,bengin
90,cryptojacking
78,bengin
93,bengin
103,cryptojacking
66,bengin
66,bengin
54,bengin
133,bengin
1434,bengin
66,bengin
166,bengin
124,bengin
1434,bengin
1434,cryptojacking
60,bengin
131,bengin
99,cryptojacking
138,bengin
1434,cryptojacking
147,bengin
113,bengin
54,bengin
54,bengin
5538,cryptojacking
66,bengin
1434,cryptojacking
176,bengin
125,bengin
54,bengin
123,bengin
140,bengin
115,bengin
90,cryptojacking
159,bengin
112,bengin
110,bengin
103,cryptojacking
86,bengin
54,bengin
54,bengin
12378,cryptojacking
54,bengin
1434,bengin
90,cryptojacking
66,bengin
54,bengin
117,bengin
60,bengin
153,bengin
54,bengin
1434,cryptojacking
1434,cryptojacking
1434,cryptojacking
54,bengin
120,bengin
90,cryptojacking
1434,cryptojacking
60,bengin
129,bengin
54,bengin
123,bengin
157,bengin
119,bengin
2802,cryptojacking
136,bengin
103,cryptojacking
153,bengin
60,bengin
129,bengin
118,bengin
66,bengin
78,bengin
353,bengin
130,bengin
127,bengin
66,bengin
129,bengin
129,bengin
103,cryptojacking
133,bengin
116,bengin
54,bengin
1434,bengin
125,bengin
571,bengin
128,bengin
135,bengin
1434,bengin
103,cryptojacking
122,bengin
128,bengin
60,bengin
60,bengin
122,bengin
1434,cryptojacking
6906,cryptojacking
66,bengin
132,bengin
60,bengin
54,bengin
54,bengin
128,bengin
66,bengin
66,bengin
116,bengin
54,bengin
54,bengin
66,bengin
54,bengin
74,bengin
66,bengin
60,bengin
122,bengin
138,bengin
